"","geo","name","four_regions","eight_regions","six_regions","members_oecd_g77","Latitude","Longitude","UN.member.since","World.bank.region","World.bank..4.income.groups.2017","World.bank..3.income.groups.2017"
"1","afg","Afghanistan","asia","asia_west","south_asia","g77",33,66,"19/11/1946","South Asia","Low income",NA
"2","alb","Albania","europe","europe_east","europe_central_asia","others",41,20,"14/12/1955","Europe & Central Asia","Upper middle income",NA
"3","dza","Algeria","africa","africa_north","middle_east_north_africa","g77",28,3,"8/10/1962","Middle East & North Africa","Upper middle income",NA
"4","and","Andorra","europe","europe_west","europe_central_asia","others",42.50779,1.52109,"28/7/1993","Europe & Central Asia","High income",NA
"5","ago","Angola","africa","africa_sub_saharan","sub_saharan_africa","g77",-12.5,18.5,"1/12/1976","Sub-Saharan Africa","Lower middle income",NA
"6","atg","Antigua and Barbuda","americas","america_north","america","g77",17.05,-61.8,"11/11/1981","Latin America & Caribbean","High income",NA
"7","arg","Argentina","americas","america_south","america","g77",-34,-64,"24/10/1945","Latin America & Caribbean","Upper middle income",NA
"8","arm","Armenia","europe","europe_east","europe_central_asia","others",40.25,45,"2/3/1992","Europe & Central Asia","Lower middle income",NA
"9","aus","Australia","asia","east_asia_pacific","east_asia_pacific","oecd",-25,135,"1/11/1945","East Asia & Pacific","High income",NA
"10","aut","Austria","europe","europe_west","europe_central_asia","oecd",47.33333,13.33333,"14/12/1955","Europe & Central Asia","High income",NA
"11","aze","Azerbaijan","europe","europe_east","europe_central_asia","others",40.5,47.5,"2/3/1992","Europe & Central Asia","Upper middle income",NA
"12","bhs","Bahamas","americas","america_north","america","g77",25.04082,-77.37122,"18/8/1973","Latin America & Caribbean","High income",NA
"13","bhr","Bahrain","asia","asia_west","middle_east_north_africa","g77",26.03333,50.55,"21/9/1971","Middle East & North Africa","High income",NA
"14","bgd","Bangladesh","asia","asia_west","south_asia","g77",24,90,"17/9/1974","South Asia","Lower middle income",NA
"15","brb","Barbados","americas","america_north","america","g77",13.16667,-59.53333,"9/12/1966","Latin America & Caribbean","High income",NA
"16","blr","Belarus","europe","europe_east","europe_central_asia","others",53,28,"24/10/1945","Europe & Central Asia","Upper middle income",NA
"17","bel","Belgium","europe","europe_west","europe_central_asia","oecd",50.75,4.5,"27/12/1945","Europe & Central Asia","High income",NA
"18","blz","Belize","americas","america_north","america","g77",17.49952,-88.19756,"25/9/1981","Latin America & Caribbean","Upper middle income",NA
"19","ben","Benin","africa","africa_sub_saharan","sub_saharan_africa","g77",9.5,2.25,"20/9/1960","Sub-Saharan Africa","Low income",NA
"20","btn","Bhutan","asia","asia_west","south_asia","g77",27.5,90.5,"21/9/1971","South Asia","Lower middle income",NA
"21","bol","Bolivia","americas","america_south","america","g77",-17,-65,"14/11/1945","Latin America & Caribbean","Lower middle income",NA
"22","bih","Bosnia and Herzegovina","europe","europe_east","europe_central_asia","g77",44.25,17.83333,"22/5/1992","Europe & Central Asia","Upper middle income",NA
"23","bwa","Botswana","africa","africa_sub_saharan","sub_saharan_africa","g77",-22,24,"17/10/1966","Sub-Saharan Africa","Upper middle income",NA
"24","bra","Brazil","americas","america_south","america","g77",-10,-55,"24/10/1945","Latin America & Caribbean","Upper middle income",NA
"25","brn","Brunei","asia","east_asia_pacific","east_asia_pacific","g77",4.5,114.66667,"21/9/1984","East Asia & Pacific","High income",NA
"26","bgr","Bulgaria","europe","europe_east","europe_central_asia","others",42.66667,25.25,"14/12/1955","Europe & Central Asia","Upper middle income",NA
"27","bfa","Burkina Faso","africa","africa_sub_saharan","sub_saharan_africa","g77",12.5,-1.66667,"20/9/1960","Sub-Saharan Africa","Low income",NA
"28","bdi","Burundi","africa","africa_sub_saharan","sub_saharan_africa","g77",-3.5,30,"18/9/1962","Sub-Saharan Africa","Low income",NA
